English	Swedish	POS	source	row
Accreditation	Ackreditering	N?	0	ACM	1358
Accreditation [**]	Ackreditering/godkännande	N?	0	ACM	1365
accumulated	ackumulerade	N?	0	ICT	42
accumulator, accumulators	ackumulator, ackumulatorn, ackumulatorer	N	1	GF	17
accuracy	noggrannhet/exakthet	N?	0	ICT	43
accuracy, accuracies	noggrannhet, noggrannheten, noggrannheter	N	1	GF	18
accurate	ackurat/noggrann/exakt	N?	0	ICT	44
achieve achieves achieved	uppnå uppnår uppnådda	N?	0	ICT	45
achieve, achieved, achieved	 uppnå, uppnådde, uppnått	V	1	GF	19
acknowledge acknowledgement acknowledgements acknowledged	erkänna kvittens kvittenser kvitto	N?	0	ICT	46
acknowledge, acknowledged, acknowledged	 erkänna, erkände, erkänt	V	1	GF	20
ACM		N?	0
acoustic	akustisk, akustiskt, akustiska	A	1	GF	21
acoustic, acoustics	akustik, akustiken, akustiker	N	1	GF	22
acoustic|s	akustik	N?	0	ICT	47
acquisition	anskaffning	N?	0	ICT	48
acronym, acronyms	akronym, akronymen, akronymer	N	1	GF	23
across	tvärs/över	N?	0	ICT	49
act acts acting	agera agerar agerar/agerande	N?	0	ICT	50
act, acted, acted	 agera, agerade, agerat	V	1	GF	24
act, acts	handling, handlingen, handlingar	N	1	GF	25
action plan	åtgärdsprogram	N?	0	ICT	51
action research	aktionsforskning	N?	0	ICT	52
action, actions	handling, handlingen, handlingar	N	1	GF	26
activate activation	aktivera aktiverings	N?	0	ICT	53
activation, activations	aktivering, aktiveringen, aktiveringar	N	1	GF	27
active	aktiv, aktivt, aktiva	A	1	GF	28
active activated activation activity activities	aktiv aktiverad aktivering aktivitetsverksamhet	N?	0	ICT	54
Active Management Technology (AMT)		N?	0	ICT	55
activity activities	aktivitet aktiviteter	N?	0	ICT	56
actor, actors	skådespelare, skådespelaren, skådespelare	N	1	GF	29
actor|s	aktör|er	N?	0	ICT	57
actual actually	faktiska faktiskt	N?	0	ICT	58
actuators	ställdon	N?	0	ICT	59
ad, ads	reklam, reklamen, reklamer	N	1	GF	30
Adaptable architectures	Anpassningsbara arkitekturer	N?	0	ACM	215
adaptation	anpassning	N?	0	ICT	61
adaptation, adaptations	anpassning, anpassningen, anpassningar	N	1	GF	31
adapter adapters adapt adapted adaptive adapting	adapter adaptrar anpassa anpassad adaptiv/anpassningsbar anpassning	N?	0	ICT	62
adapter, adapters	adapter, adaptern, adaptrar	N	1	GF	32
adaptive	adaptiv, adaptivt, adaptiva	A	1	GF	33
Adaptive and iterative quadrature		N?	0	ACM	704
add adds added	adderar tillägger tillsatt	N?	0	ICT	63
addition additional	därtill ytterligare	N?	0	ICT	64
additional	ytterligare, ytterligare, ytterligare	A	1	GF	34
address addressing addresses addressed addressable	adress/adressera adresserar adresser adresserade adresserbar	N?	0	ICT	65
address space, address spaces	adressrymd, adressrymden, adressrymder	N	1	GF	35
address, addressed, addressed	 adressera, adresserade, adresserat	V	1	GF	36
address, addresses	adress, adressen, adresser	N	1	GF	37
address-centric	adress-centrerad	N?	0	ICT	66
addressing model	adresseringsmodell	N?	0	ICT	67
adjustment	trimning/justering	N?	0	ICT	68
administrative	administrativ, administrativt, administrativa	A	1	GF	38
ADMINISTRATIVE DATA PROCESSING	ADMINISTRATIV DATABEHANDLING	N?	0	ACM	1289
administrators administratively administrative administration	administratörer administrativt administrativ administrering	N?	0	ICT	69
admission requirement, admission requirements	tillträdeskrav, tillträdeskravet, tillträdeskrav	N	1	GF	39
adopts adopted adoption adopting	antar antas/antog antagande antar	N?	0	ICT	70
advance advances advanced advancing	avancera framsteg avancerade avancera	N?	0	ICT	71
advance, advanced, advanced	 avancera, avancerade, avancerat	V	1	GF	40
advance, advances	framsteg, framsteget, framsteg	N	1	GF	41
Advanced Encryption Standard (AES)		N?	0	ICT	72
Advanced Metering Infrastructure (AMI)		N?	0	ICT	73
Advanced technologies	Avancerade tekniker	N?	0	ACM	162
advantage advantages	fördel fördelar	N?	0	ICT	74
advantages	fördelar	N?	0	ICT	75
advertisements	annonser	N?	0	ICT	76
advice advisory	rådgivning rådgivande	N?	0	ICT	77
Aerospace	Rymdfart	N?	0	ACM	1299
aesthetic interaction	estetisk interaktion	N?	0	ICT	78
affect, affected, affected	 påverka, påverkade, påverkat	V	1	GF	42
affective interaction	påverkande interaktion	N?	0	ICT	80
affect|s	påverka|r	N?	0	ICT	79
affordable	prisvärd	N?	0	ICT	81
again	igen	N?	0	ICT	82
agency agencies	agentur byrå	N?	0	ICT	83
agency, agencys	byrå, byrån, byråer	N	1	GF	43
agenda	agenda/dagordning	N?	0	ICT	84
agent agents	agent/representant/ombud	N?	0	ICT	85
agent, agents	agent, agenten, agenter	N	1	GF	44
aggregate aggregated aggregation	aggregat aggregerade aggregering	N?	0	ICT	86
aggregation, aggregations	aggregation, aggregationen, aggregationer	N	1	GF	45
aggregator		N?	0	ICT	87
aggressive	aggressiv	N?	0	ICT	90
agile	agil, agilt, agila	A	1	GF	46
agile	agila	N?	0	ICT	88
agile	vig	N?	0	ICT	91
agile software development, agile software developments	agil mjukvaruutveckling, agila mjukvaruutvecklingen, agila mjukvaruutvecklingar	N	1	GF	47
agree agrees agreed	samtycka samtycker överenskomna	N?	0	ICT	92
agreement agreements	avtal	N?	0	ICT	89
agreement, agreements	avtal, avtalet, avtal	N	1	GF	48
aid, aided, aided	 hjälpa, hjälpte, hjälpt	V	1	GF	49
aim, aimed, aimed	 syfta, syftade, syftat	V	1	GF	50
aim, aims	syfte, syftet, syften	N	1	GF	51
aiming	siktar	N?	0	ICT	93
airflow, airflows	luftflöde, luftflödet, luftflöden	N	1	GF	52
airports	flygplatser	N?	0	ICT	94
airspace	luftrummet	N?	0	ICT	95
alarm alarms	larm	N?	0	ICT	96
alarm system	larmsystem	N?	0	ICT	97
alarmclock	väckarklocka	N?	0	ICT	98
alert	alert/varna	N?	0	ICT	99
algebra, algebras	algebra, algebran, algebror	N	1	GF	53
algebraic	algebraisk	N?	0	ICT	100
algebraic	algebraisk, algebraiskt, algebraiska	A	1	GF	54
Algebraic algorithms	Algebraiska algoritmer	N?	0	ACM	985
Algebraic approaches to semantics	Algebraiska sätt att behandla semantik	N?	0	ACM	621
Algebraic language theory		N?	0	ACM	655
algorithm algorithms	algoritm algoritmer	N?	0	ICT	101
algorithm analysis, algorithm analyses	algoritmanalys, algoritmanalysen, algoritmanalyser	N	1	GF	55
Algorithm design and analysis		N?	0	ACM	800
algorithm design techniques, algorithm design techniqueses	algoritmdesigntekniker, algoritmdesignteknikret, algoritmdesigntekniker	N	1	GF	56
algorithm design, algorithm designs	algoritmdesign, algoritmdesignen, algoritmdesigner	N	1	GF	57
algorithm, algorithms	algoritm, algoritmen, algoritmer	N	1	GF	58
algorithmic	algoritmisk, algoritmiskt, algoritmiska	A	1	GF	59
Algorithms	Algoritmer	N?	0	ACM	1224
Algorithms	Algoritmer	N?	0	ACM	55
Algorithms (F.2.1, F.2.2)	Algoritmer (F.2.1, F.2.2)	N?	0	ACM	984
Algorithms implemented in hardware	Algoritmer implementerade i maskinvara	N?	0	ACM	163
aliasing	aliaserande	N?	0	ICT	102
alignment	"utstakning/rätning/""i linje med"""	N?	0	ICT	103
All Digital Phase-Locked Loop (ADPLL)		N?	0	ICT	104
all-IP network	all-IP-nätverk	N?	0	ICT	107
alleviate	lindra	N?	0	ICT	105
alliance alliances	allians allianser	N?	0	ICT	106
alliance, alliances	förbund, förbundet, förbund	N	1	GF	60
allocation allocates allocated	allokering allokerar allokeras/allokerade	N?	0	ICT	108
allocation, allocations	fördelning, fördelningen, fördelningar	N	1	GF	61
Allocation/deallocation strategies		N?	0	ACM	478
allow allows allowed allowing	tillåta tillåter tillåtet/tillät tillåter	N?	0	ICT	109
allow, allowed, allowed	 låta, lät, låtit	V	1	GF	62
alphabet	alfabet/bokstavs	N?	0	ICT	110
alphanumeric	alfanumerisk	N?	0	ICT	111
already	redan	N?	0	ICT	112
altering	förändra	N?	0	ICT	113
alternate, alternated, alternated	 växla, växlade, växlat	V	1	GF	63
Alternation and nondeterminism	Växling och icke-determinism	N?	0	ACM	579
alternative alternatives alternate alternating alternatively	alternativ alternativ alterera alternerande alternativt	N?	0	ICT	114
although	"""även om""/fastän"	N?	0	ICT	115
altruistic	altruistiska	N?	0	ICT	116
always	alltid	N?	0	ICT	117
Amazon Elastic Compute Cloud Application Programming Interface (EC2API)		N?	0	ICT	118
ambient information system	omgivande informationssystem	N?	0	ICT	119
ambient intelligence	intelligent omgivning 	N?	0	ICT	120
ambient interface	omgivande gränssnitt	N?	0	ICT	121
ambient networks	omgivande nätverk	N?	0	ICT	122
amend amended amending	ändra ändras ändrings	N?	0	ICT	123
amendment|s	ändring|AR	N?	0	ICT	124
amount|s	belopp uppgår	N?	0	ICT	125
amplifier	förstärkare	N?	0	ICT	126
amplitude, amplitudes	amplitud, amplituden, amplituder	N	1	GF	64
amplitude-shift	amplitud-skift	N?	0	ICT	127
amusement	nöjen/underhållning	N?	0	ICT	128
analog	analog	N?	0	ICT	129
Analog computers	Analoga datorer	N?	0	ACM	216
Analog computers [**]	Analoga datorer [**]	N?	0	ACM	229
analog front-end	analog framända	N?	0	ICT	130
analogical reasoning in computer concept		N?	0	ICT	131
Analogies	Analogier	N?	0	ACM	1036
analogous	analog/likartad	N?	0	ICT	132
analyse, analysed, analysed	 analysera, analyserade, analyserat	V	1	GF	65
analysis	analys	N?	0	ICT	133
Analysis of algorithms	Analys av algoritmer	N?	0	ACM	986
ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY (6, 7, 1.3)	ANALYS AV ALGORITMER OCH PROBLEMKOMPLEXITET (6, 7, 1.3) 	N?	0	ACM	593
analysis of experimental data	analys av experimentell data	N?	0	ICT	134
analysis, analysises	analys, analysen, analyser	N	1	GF	66
analytical	analytisk	N?	0	ICT	135
analytical	analytisk, analytiskt, analytiska	A	1	GF	67
analyze analyzed	analysera analyseras	N?	0	ICT	136
anchor	ankare	N?	0	ICT	137
angle	vinkel	N?	0	ICT	138
animal	djur	N?	0	ICT	139
Animation	Animering	N?	0	ACM	1135
Animation	Animering	N?	0	ACM	1250
Animations		N?	0	ACM	930
anisotropic	anisotrop, anisotropt, anisotropa	A	1	GF	68
announce announces announcement announcements announced announcer announcing	annonsera/meddela tillkännager meddelande meddelanden tillkännages speakern meddelar	N?	0	ICT	140
annoyed	irriterad/förargad	N?	0	ICT	141
annual	årlig	N?	0	ICT	142
anonymous	anonym	N?	0	ICT	143
answer answers answering answered	besvara svarar/svar svarar svarade/besvarats	N?	0	ICT	144
answer, answers	svar, svaret, svar	N	1	GF	69
Answer/reason extraction	Extraktion av svar/härledning	N?	0	ACM	1015
antenna array	antennrad/antennordning	N?	0	ICT	146
antenna, antennas	antenn, antennen, antenner	N	1	GF	70
antenna|s	antenn antenner	N?	0	ICT	145
Antialiasing [**]	Antialiasing	N?	0	ACM	1101
antibiotic, antibiotics	antibiotikum, antibiotikumet, antibiotika	N	1	GF	71
anticipated	förväntad	N?	0	ICT	147
antivirus, antiviruses	antivirus, antiviruset, antivirus	N	1	GF	72
aperiodic	aperiodisk	N?	0	ICT	148
apparatus	apparat	N?	0	ICT	149
appear appearance appeared	synas utseende verkade	N?	0	ICT	150
appliance appliances	apparat apparater	N?	0	ICT	151
appliance, appliances	tillämpning, tillämpningen, tillämpningar	N	1	GF	73
applicable applicability	tillämplig tillämpbarhet	N?	0	ICT	152
application (app)	tillämpning (app)	N?	0	ICT	153
application applications applicable	tillämpning tillämpningar tillämpbar	N?	0	ICT	154
application developer	programutvecklaren	N?	0	ICT	155
application development	apputveckling	N?	0	ICT	156
Application packages	Applikationspaket	N?	0	ACM	1108
Application Packages	Tillämpningsprogram	N?	0	ACM	1463
application programming interface (API)	programmeringsgränssnitt (API)	N?	0	ICT	158
application scalability	tillämpningsskalbarhet	N?	0	ICT	159
application software, application softwares	tillämpningsprogram, tillämpningsprogramet, tillämpningsprogram	N	1	GF	74
application specific intergrated circuit (ASIC)	tillämpningsspecifik inbygd krets (ASIC)	N?	0	ICT	161
application utilization	tillämpningsutnyttjande	N?	0	ICT	162
application, applications	applikation, applikationen, applikationer	N	1	GF	75
application-level	applikationsnivå	N?	0	ICT	157
application-specific	applikationsspecifika	N?	0	ICT	160
Applications	Tillämpningar	N?	0	ACM	1143
Applications	Tillämpningar	N?	0	ACM	1202
Applications	Tillämpningar	N?	0	ACM	1226
Applications	Tillämpningar	N?	0	ACM	1242
Applications	Tillämpningar	N?	0	ACM	761
Applications	Tillämpningar	N?	0	ACM	778
Applications	Tillämpningar	N?	0	ACM	994
Applications (SMTP, FTP, etc.)	Tillämpningar (SMTP, FTP etc.)	N?	0	ACM	249
Applications and Expert Systems (H.4, J)	Tillämpningar och expertsystem (H.4, J)	N?	0	ACM	1000
Applicative (functional) languages	Applikationsspråk (funktionella språk)	N?	0	ACM	422
Applicative (Functional) Programming	Applikativ (funktionell programmering	N?	0	ACM	304
applied data science, applied data sciences	applicerad datavetenskap, applicerade datavetenskapen, applicerade datavetenskaper	N	1	GF	76
applied statistics in engineering	tillämpad statistisk i ingenjörsarbete	N?	0	ICT	163
apply applies applying applied	applicera, tillämpa	N?	0	ICT	164
apply, applied, applied	 applicera, applicerade, applicerat	V	1	GF	77
appointed	utsedd	N?	0	ICT	165
approach approaches approachable approaching	metod metoder  tillgänglig annalkande	N?	0	ICT	166
appropriate	lämpligt	N?	0	ICT	167
appropriate, appropriated, appropriated	 bestämma, bestämde, bestämt	V	1	GF	78
approve approves approved approval	godkänna godkänner godkänd godkännande	N?	0	ICT	168
Approximate methods	Approximativa metoder	N?	0	ACM	1158
approximate, approximated, approximated	 approximera, approximerade, approximerat	V	1	GF	79
approximately	cirka/ungefär	N?	0	ICT	169
Approximation		N?	0	ACM	680
Approximation of surfaces and contours		N?	0	ACM	681
approximation, approximations	approximation, approximationen, approximationer	N	1	GF	80
arbitrarily	godtyckligt	N?	0	ICT	170
Archaeology	Arkeologi	N?	0	ACM	1300
architect, architects	arkitekt, arkitekten, arkitekter	N	1	GF	81
architectural	arkitekturell, arkitekturellt, arkitekturella	A	1	GF	82
Architecture	Arkitektur	N?	0	ACM	1317
Architecture and control structures [**]	Arkitektur och kontrollstrukturer [**]	N?	0	ACM	1070
architecture architectures architectural	arkitektur	N?	0	ICT	171
architecture, architectures	arkitektur, arkitekturen, arkitekturer	N	1	GF	83
Architectures		N?	0	ACM	966
archive archiving	arkiv arkivering	N?	0	ICT	172
area areas	område områden	N?	0	ICT	173
argue, argued, argued	 argumentera, argumenterade, argumenterat	V	1	GF	84
argument, arguments	argument, argumentet, argument	N	1	GF	85
argument|s	argumentet/argument	N?	0	ICT	174
arises	uppstår	N?	0	ICT	175
ARITHMETIC AND LOGIC STRUCTURES	ARITMETISKA OCH LOGISKA STRUKTURER	N?	0	ACM	39
Arithmetic and logic units	Aritmetiska och logiska enheter	N?	0	ACM	117
arithmetic, arithmetics	aritmetik, aritmetiken, aritmetiker	N	1	GF	86
Array and vector processors		N?	0	ACM	206
array, arrays	fält, fältet, fält	N	1	GF	87
arrayed waveguide grating		N?	0	ICT	177
Arrays	Vektorer	N?	0	ACM	537
array|s	array|er	N?	0	ICT	176
arrival arrive arrives arriving	ankomst anlända/komma anländer anländer 	N?	0	ICT	179
arrival signal and processing	ankomstsignal och bearbetning	N?	0	ICT	178
arrival, arrivals	ankomst, ankomsten, ankomster	N	1	GF	88
artefact	artefakt	N?	0	ICT	180
article articles	artikel artiklar	N?	0	ICT	181
article, articles	artikel, artikeln, artiklar	N	1	GF	89
articulate, articulated, articulated	 artikulera, artikulerade, artikulerat	V	1	GF	90
artificial	artificiell, artificiellt, artificiella	A	1	GF	91
ARTIFICIAL INTELLIGENCE	ARTIFICIELL INTELLIGENS	N?	0	ACM	996
artificial intelligence, artificial intelligences	artificiell intelligens, artificiella intelligensen, artificiella intelligenser	N	1	GF	92
Artificial, augmented, and virtual realities		N?	0	ACM	931
artificially	artificiellt	N?	0	ICT	182
ARTS AND HUMANITIES	KONST OCH HUMANIORA	N?	0	ACM	1316
Arts, fine and performing [**]	Sköna konsterna och dans/sång/teater [**]	N?	0	ACM	1318
AS-level topology	AS-nivå topologi	N?	0	ICT	184
ask asks asking	fråga frågar be	N?	0	ICT	183
aspect aspects	aspekt aspekter	N?	0	ICT	185
aspect, aspects	aspekt, aspekten, aspekter	N	1	GF	93
assembly assemble assembled	montering montera monterad	N?	0	ICT	186
assembly code, assembly codes	assemblykod, assemblykoden, assemblykoder	N	1	GF	94
assembly programming, assembly programmings	assemblerprogrammering, assemblerprogrammeringen, assemblerprogrammeringar	N	1	GF	95
assembly, assemblies	assembly, assemblyn, assemblys	N	1	GF	96
Assertion checkers		N?	0	ACM	346
Assertions	Påståenden	N?	0	ACM	614
assess, assessed, assessed	 bedöma, bedömde, bedömt	V	1	GF	97
assessment, assessments	bedömning, bedömningen, bedömningar	N	1	GF	98
asset|s	tillgångs tillgångar	N?	0	ICT	187
assign, assigned, assigned	 tilldela, tilldelade, tilldelat	V	1	GF	99
assignment, assignments	inlämningsuppgift, inlämningsuppgiften, inlämningsuppgifter	N	1	GF	100
assigns assigned assignment assignments	delar tilldelade  tilldelning/uppdrag  tilldelningar/uppdragen	N?	0	ICT	188
assist assists assistant assistance	bistå assist assistent assistans	N?	0	ICT	189
assist, assisted, assisted	 hjälpa, hjälpte, hjälpt	V	1	GF	101
assistant, assistants	assistent, assistenten, assistenter	N	1	GF	102
Assistive technologies for persons with disabilities	Stödtekniker för personer med funktionshinder	N?	0	ACM	1381
associate associating associated association	associera associera associerad sammanslutning	N?	0	ICT	190
associate, associated, associated	 associera, associerade, associerat	V	1	GF	103
association, associations	samband, sambandet, samband	N	1	GF	104
associative	associativ, associativt, associativa	A	1	GF	105
associative business intelligence	associativ omvärldsbevakning	N?	0	ICT	191
Associative memories	Associativa minnen	N?	0	ACM	65
Associative processors	Associativa processorer	N?	0	ACM	207
assume, assumed, assumed	 anta, antog, antagit	V	1	GF	106
assumed	antog	N?	0	ICT	192
assurance	försäkran	N?	0	ICT	193
Astronomy	Astronomi	N?	0	ACM	1301
asymmetric	asymmetrisk	N?	0	ICT	194
asymmetric	asymmetrisk, asymmetriskt, asymmetriska	A	1	GF	107
asymmetric cryptography	asymmetrisk kryptografi	N?	0	ICT	195
asymmetric digital subscriber line (ADSL)		N?	0	ICT	196
asymptotic	asymptotisk, asymptotiskt, asymptotiska	A	1	GF	108
asynchronous	asynkron, asynkront, asynkrona	A	1	GF	109
asynchronous asynchronously	asynkron asynkront	N?	0	ICT	197
asynchronous communication	asynkron kommunikation	N?	0	ICT	198
Asynchronous interaction		N?	0	ACM	957
asynchronous message passing	asynkrona meddelande passerar	N?	0	ICT	199
Asynchronous Transfer Mode (ATM)	Asynkron överföringsmod (ATM)	N?	0	ACM	237
Asynchronous/synchronous operation	Asynkront/synkront funktionssätt	N?	0	ACM	95
atomic	atomisk	N?	0	ICT	200
atomic shared registers	atomic delade registren	N?	0	ICT	201
attach/attaches attached attachment attachments	fästa/fäster bifogade  bilaga bilagor	N?	0	ICT	202
attachment, attachments	bilaga, bilagan, bilagor	N	1	GF	110
attack attacks attacker	attack attacker Attackeraren	N?	0	ICT	203
attack model, attack models	attackmodell, attackmodellen, attackmodeller	N	1	GF	111
attack, attacked, attacked	 angripa, angrep, angripit	V	1	GF	112
attack, attacks	attack, attacken, attacker	N	1	GF	113
attempt attempts attempting	försök försök som försöker	N?	0	ICT	204
attendant attended	skötare deltog	N?	0	ICT	205
attenuation, attenuations	försvagning, försvagningen, försvagningar	N	1	GF	114
attracted	lockade	N?	0	ICT	206
attribute attributes	attribut attributen	N?	0	ICT	207
attribute, attributes	attribut, attributet, attribut	N	1	GF	115
attribute-value	attributvärde	N?	0	ICT	208
audible	hörbar	N?	0	ICT	209
audio	ljud	N?	0	ICT	210
Audio input/output		N?	0	ACM	932
audio, audios	ljud, ljudet, ljud	N	1	GF	116
auditing	revision	N?	0	ICT	211
Auditory (non-speech) feedback		N?	0	ACM	937
auditory alert	ljudsignaler	N?	0	ICT	212
augmented	förstärkt	N?	0	ICT	213
augmented reality	förstärkt verklighet	N?	0	ICT	214
authenticate authenticity authenticated authentication authentications authenticator authenticating	verifiera äktheten authenticated autentiserings autentiseringar verifieraren autentiserande	N?	0	ICT	215
Authentication	Autentisering	N?	0	ACM	1439
Authentication	Autentisering	N?	0	ACM	506
authentication and data confidentiality	autentisering och datasekretess	N?	0	ICT	216
authentication, authentications	autentisering, autentiseringen, autentiseringar	N	1	GF	117
authenticator	verifieraren	N?	0	ICT	217
authenticity	äkthet	N?	0	ICT	218
author authors authority authorities authorized authorization	författare författarna auktoritet myndigheterna auktoriserad auktorisation	N?	0	ICT	220
authore, authored, authored	 författa, författade, författat	V	1	GF	118
authority, authorities	myndighet, myndigheten, myndigheter	N	1	GF	119
authorization	tillstånd	N?	0	ICT	219
auto-correlation	autokorrelations	N?	0	ICT	222
autoconfiguration	autokonfiguration/självkonfiguration	N?	0	ICT	221
Automata (e.g., finite, push-down, resource-bounded)	Automater (t.ex. ändliga, 	N?	0	ACM	572
automata theory, automata theories	automatteori, automatteorien, automatteoriar	N	1	GF	120
automate	automatisering	N?	0	ICT	223
automate, automated, automated	 automatisera, automatiserade, automatiserat	V	1	GF	121
automated	automatiserad, automatiserat, automatiserade	A	1	GF	122
automated debugging	automatiserad felsökning	N?	0	ICT	224
automated documentation	automatiserad dokumentation	N?	0	ICT	225
automated model generation	automatiserad modell generering	N?	0	ICT	226
automated test framework	automatiserad ramtest	N?	0	ICT	227
Automatic analysis of algorithms	Automatisk analys av algoritmer	N?	0	ACM	1009
automatic automatically	automatisk automatiskt	N?	0	ICT	228
Automatic differentiation		N?	0	ACM	705
automatic e-mail classification	automatiskt e-post klassificering	N?	0	ICT	229
Automatic Programming (1.2, F.3.1, F.4.1)	Automatisk programmering  (1.2, F.3.1, F.4.1)	N?	0	ACM	1008
Automatic Programming (I.2.2)	Automatisk programmering (1.2.2)	N?	0	ACM	305
automatic scheduling	automatisk schemaläggning	N?	0	ICT	230
Automatic synthesis	Automatisk syntes	N?	0	ACM	123
Automatic synthesis	Automatisk syntes	N?	0	ACM	152
Automatic synthesis [**]	Automatisk syntes [**]	N?	0	ACM	18
automatic target recognition	automatisk mål-erkännande	N?	0	ICT	231
Automation	Automation	N?	0	ACM	1385
automation	automatiserade automatisering	N?	0	ICT	232
automation, automations	automatisering, automatiseringen, automatiseringar	N	1	GF	123
automaton, automata	automat, automaten, automater	N	1	GF	124
automobile|s	bil|ar	N?	0	ICT	233
automotive telematic systems	fordonstelematiksystem	N?	0	ICT	234
autonomous	självstyrande, självstyrande, självstyrande	A	1	GF	125
Autonomous vehicles	Autonoma fordon	N?	0	ACM	1060
availability, availabilities	tillgång, tillgången, tillgångar	N	1	GF	126
